id,sentiment,country,coordinates
1244847095984590848,-0.12698412698412698,US,"[34.0522, -118.243]"
1244847270035697664,0.15000000000000002,US,"[36.8522, -76.2808]"
1244848744329248768,0.5,US,"[39.7391, -104.98360001]"
1244849032486420480,-1.0,US,"[40.69404101, -73.98792035]"
1244849620045488128,0.3,US,"[33.8753, -117.566]"
1244850726637092871,-0.10000000000000002,US,"[34.2011, -118.536]"
1244851950807584768,0.35,US,"[37.3229, -122.0323]"
1244852751328305153,0.0,US,"[32.5141, -93.7501]"
1244853445791830016,0.13636363636363635,US,"[40.7142, -74.0064]"
1244853890442551296,0.31562500000000004,US,"[34.05387284, -118.36041226]"
1244853945941528576,-0.29296875,US,"[28.13333333, -81.63166667]"
1244855694978953216,0.36071428571428577,US,"[34.07347, -118.40033]"
1244859799264727040,0.21428571428571427,US,"[37.22629, -80.41062]"
1244864508251660289,0.0,US,"[33.8344994, -117.6601639]"
1244866579684380672,0.13636363636363635,US,"[40.7142, -74.0064]"
1244870049485082625,-0.033333333333333326,US,"[47.25540403, -122.4413699]"
1244880459043127298,0.3541666666666667,US,"[38.2578, -122.054]"
1244881339465285635,0.16818181818181818,US,"[40.7, -73.8309]"
1244890105237721088,-0.1,US,"[40.75958, -73.91976]"
1244910781256392704,0.13636363636363635,US,"[47.6132, -122.346]"
1244915700159913984,0.8,US,"[39.291089, -75.621853]"
1244917543938199553,-0.1,US,"[33.8873, -118.4026]"
1244919278844944384,0.0,US,"[40.6819, -73.692001]"
1244919279855820810,0.0,US,"[40.6819, -73.692001]"
1244919411858968576,0.0,US,"[40.6819, -73.692001]"
1244919411888267264,0.0,US,"[40.6819, -73.692001]"
1244938175656726529,0.505,US,"[40.8115, -96.6767]"
1244941809840803840,0.17045454545454544,US,"[40.65322118, -73.90672019]"
1244942076288159744,-0.25,US,"[42.20275572, -71.0049217]"
1244942725553590272,0.25,US,"[34.05387284, -118.36041226]"
1244944297520238593,0.5,US,"[42.94935, -85.61179]"
1244946281115668480,1.0,US,"[40.80780954, -74.19224075]"
1244959537628577793,0.5,US,"[40.7493, -73.8531]"
1244960751120519170,-0.14583333333333334,US,"[37.7793, -122.419]"
1244964052109049856,0.2333333333333333,US,"[33.9365, -83.7105]"
1244974673693224962,0.0,US,"[38.2525, -85.7554]"
1244976014968737795,0.0,US,"[35.0455, -85.2673]"
1244976071306436608,0.5625,US,"[42.19222222, -88.08805556]"
1244977554148052992,0.3,US,"[44.9497, -93.0931]"
1244978168731185153,0.13636363636363635,US,"[40.7142, -74.0064]"
1244978906911903744,0.2,US,"[38.90950472, -76.83990808]"
1244979108922171392,0.0,US,"[40.7207559, -74.0007613]"
1244980127840129026,0.0,US,"[39.9527, -75.1651]"
1244982129894871040,0.0,US,"[32.861895, -96.804985]"
